compiler/src	compiler/src/compiler/codegen/visit/pattern_emitter.cryo	718	50	member	parse_int	guess=0
compiler/src	compiler/src/compiler/codegen/visit/place_emitter.cryo	547	36	member	parse_int	guess=0
compiler/src	compiler/src/compiler/compilation_context.cryo	255	50	ident	Box	guess=1
compiler/src	compiler/src/compiler/compilation_context.cryo	258	53	ident	Box	guess=1
compiler/src	compiler/src/compiler/compilation_context.cryo	259	53	ident	Box	guess=1
compiler/src	compiler/src/compiler/compilation_context.cryo	260	53	ident	Box	guess=1
compiler/src	compiler/src/compiler/compilation_context.cryo	261	53	ident	Box	guess=1
compiler/src	compiler/src/compiler/compilation_context.cryo	262	53	ident	Box	guess=1
compiler/src	compiler/src/compiler/compilation_context.cryo	263	53	ident	Box	guess=1
compiler/src	compiler/src/compiler/compilation_context.cryo	264	53	ident	Box	guess=1
compiler/src	compiler/src/compiler/compilation_context.cryo	676	48	ident	Box	guess=1
compiler/src	compiler/src/compiler/compilation_context.cryo	684	53	ident	Box	guess=1
compiler/src	compiler/src/compiler/compilation_context.cryo	692	48	ident	Box	guess=1
compiler/src	compiler/src/compiler/compilation_context.cryo	711	45	ident	Box	guess=1
compiler/src	compiler/src/compiler/const_table.cryo	128	33	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/const_table.cryo	130	33	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/decl_index.cryo	323	34	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/decl_index.cryo	324	34	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/decl_index.cryo	325	34	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/decl_index.cryo	326	34	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/decl_index.cryo	327	34	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/decl_index.cryo	328	34	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/decl_index.cryo	343	33	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/decl_index.cryo	344	34	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/decl_index.cryo	345	33	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/decl_index.cryo	346	33	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/decl_index.cryo	347	33	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/decl_index.cryo	349	33	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/decl_index.cryo	350	33	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/decl_index.cryo	383	13	ident	Pair	guess=1
compiler/src	compiler/src/compiler/decl_index.cryo	548	49	ident	Pair	guess=1
compiler/src	compiler/src/compiler/decl_index.cryo	1086	29	ident	Pair	guess=1
compiler/src	compiler/src/compiler/deps/lockfile.cryo	121	27	member	as	guess=0
compiler/src	compiler/src/compiler/deps/lockfile.cryo	150	27	member	as	guess=0
compiler/src	compiler/src/compiler/deps/lockfile.cryo	211	38	ident	Array	guess=1
compiler/src	compiler/src/compiler/deps/lockfile.cryo	223	38	ident	Array	guess=1
compiler/src	compiler/src/compiler/diag/renderer.cryo	179	30	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/diag/sink.cryo	60	32	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/instance.cryo	606	51	ident	Box	guess=1
compiler/src	compiler/src/compiler/instance.cryo	949	51	ident	Box	guess=1
compiler/src	compiler/src/compiler/instance.cryo	1083	49	ident	Box	guess=1
compiler/src	compiler/src/compiler/instance.cryo	1697	14	scope	zero	guess=0
compiler/src	compiler/src/compiler/instance.cryo	3679	15	member	spawn	guess=0
compiler/src	compiler/src/compiler/module_graph.cryo	247	31	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/module_loader.cryo	135	28	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/module_loader.cryo	136	28	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/mono/monomorphizer.cryo	141	36	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/mono/state.cryo	173	31	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/mono/state.cryo	174	33	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/passes/dead_code.cryo	124	28	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/passes/dead_code.cryo	125	28	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/passes/move_check.cryo	235	26	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/passes/move_check.cryo	257	28	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/passes/specialization.cryo	278	51	ident	Box	guess=1
compiler/src	compiler/src/compiler/passes/type_resolution.cryo	1294	22	scope	copy	guess=0
compiler/src	compiler/src/compiler/passes/type_resolution.cryo	1364	34	scope	copy	guess=0
compiler/src	compiler/src/compiler/resolver/intern_table.cryo	40	22	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/resolver/resolution_map.cryo	28	24	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/resolver/resolution_map.cryo	29	24	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/resolver/resolver.cryo	115	35	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/resolver/resolver.cryo	450	27	ident	Pair	guess=1
compiler/src	compiler/src/compiler/resolver/scope.cryo	180	33	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/resolver/scope.cryo	340	29	ident	Pair	guess=1
compiler/src	compiler/src/compiler/sema/call_resolver.cryo	2833	46	ident	Slice	guess=1
compiler/src	compiler/src/compiler/sema/lambda_synth.cryo	164	55	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/sema/lambda_synth.cryo	180	37	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/sema/lambda_synth.cryo	181	37	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/sema/lambda_synth.cryo	182	37	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/sema/sema.cryo	290	42	ident	Box	guess=1
compiler/src	compiler/src/compiler/sema/sema.cryo	897	37	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/sema/sema.cryo	898	37	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/sema/sema.cryo	899	37	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/sema/sema.cryo	916	42	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/sema/sema.cryo	3915	42	ident	Box	guess=1
compiler/src	compiler/src/compiler/sema/state.cryo	171	29	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/sema/state.cryo	172	29	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/sema/state.cryo	173	29	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/sema/state.cryo	192	34	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/sema/state.cryo	195	31	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/types/arena.cryo	194	34	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/types/arena.cryo	195	34	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/types/arena.cryo	196	34	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/types/arena.cryo	197	34	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/types/arena.cryo	198	34	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/types/arena.cryo	199	34	ident	HashMap	guess=1
compiler/src	compiler/src/compiler/types/arena.cryo	200	34	ident	HashMap	guess=1
